[Wed Mar 12 21:40:01.861724 2025] [mpm_itk:warn] [pid 3080987] (13)Permission denied: [client 192.168.13.234:51452] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/
[Wed Mar 12 21:40:01.971126 2025] [mpm_itk:warn] [pid 3081100] (13)Permission denied: [client 192.168.13.234:51453] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/
[Wed Mar 12 21:40:01.972154 2025] [mpm_itk:warn] [pid 3081101] (13)Permission denied: [client 192.168.13.234:51456] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/
[Wed Mar 12 21:40:01.974019 2025] [mpm_itk:warn] [pid 3081098] (13)Permission denied: [client 192.168.13.234:51455] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/
[Wed Mar 12 21:40:01.975284 2025] [mpm_itk:warn] [pid 3081102] (13)Permission denied: [client 192.168.13.234:51451] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/
[Wed Mar 12 21:40:01.976331 2025] [mpm_itk:warn] [pid 3081097] (13)Permission denied: [client 192.168.13.234:51454] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/
[Wed Mar 12 22:04:08.323495 2025] [php:notice] [pid 3114307] [client 192.168.13.234:51554] An Error occurred while handling another error:\nyii\\base\\InvalidConfigException: Unknown component ID: request in /srv/users/zxrysneh/fdgncpj-m1/vendor/yiisoft/yii2/di/ServiceLocator.php:139\nStack trace:\n#0 /srv/users/zxrysneh/fdgncpj-m1/vendor/yiisoft/yii2/base/Module.php(766): yii\\di\\ServiceLocator->get()\n#1 /srv/users/zxrysneh/fdgncpj-m1/vendor/yiisoft/yii2/web/Application.php(160): yii\\base\\Module->get()\n#2 /srv/users/zxrysneh/fdgncpj-m1/vendor/yiisoft/yii2/base/Component.php(139): yii\\web\\Application->getRequest()\n#3 /srv/users/zxrysneh/fdgncpj-m1/vendor/yiisoft/yii2/di/ServiceLocator.php(77): yii\\base\\Component->__get()\n#4 /srv/users/zxrysneh/fdgncpj-m1/vendor/yiisoft/yii2/web/ErrorHandler.php(503): yii\\di\\ServiceLocator->__get()\n#5 /srv/users/zxrysneh/fdgncpj-m1/vendor/yiisoft/yii2/web/ErrorHandler.php(116): yii\\web\\ErrorHandler->shouldRenderSimpleHtml()\n#6 /srv/users/zxrysneh/fdgncpj-m1/vendor/yiisoft/yii2/base/ErrorHandler.php(152): yii\\web\\ErrorHandler->renderException()\n#7 [internal function]: yii\\base\\ErrorHandler->handleException()\n#8 {main}\nPrevious exception:\nyii\\base\\UnknownPropertyException: Setting unknown property: yii\\web\\Application::baseUrl in /srv/users/zxrysneh/fdgncpj-m1/vendor/yiisoft/yii2/base/Component.php:209\nStack trace:\n#0 /srv/users/zxrysneh/fdgncpj-m1/vendor/yiisoft/yii2/BaseYii.php(558): yii\\base\\Component->__set()\n#1 /srv/users/zxrysneh/fdgncpj-m1/vendor/yiisoft/yii2/base/BaseObject.php(107): yii\\BaseYii::configure()\n#2 /srv/users/zxrysneh/fdgncpj-m1/vendor/yiisoft/yii2/base/Application.php(204): yii\\base\\BaseObject->__construct()\n#3 /srv/users/zxrysneh/fdgncpj-m1/web/index.php(12): yii\\base\\Application->__construct()\n#4 {main}\n$_SERVER = [\n    'HTTP_HOST' => 'fdgncpj-m1.wsr.ru',\n    'HTTP_CONNECTION' => 'keep-alive',\n    'HTTP_UPGRADE_INSECURE_REQUESTS' => '1',\n    'HTTP_USER_AGENT' => 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36',\n    'HTTP_ACCEPT' => 'text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7',\n    'HTTP_REFERER' => 'http://fdgncpj-m1.wsr.ru/',\n    'HTTP_ACCEPT_ENCODING' => 'gzip, deflate',\n    'HTTP_ACCEPT_LANGUAGE' => 'ru,en-US;q=0.9,en;q=0.8,bg;q=0.7,la;q=0.6',\n    'HTTP_COOKIE' => 'PHPSESSID=5lm7gg4bju6bv1tebdvuh9no9g; _csrf=6b8cdf82287079ac1e6a8fb4c1507d3291169211d4f7412e1782f8d612fc1ddea%3A2%3A%7Bi%3A0%3Bs%3A5%3A%22_csrf%22%3Bi%3A1%3Bs%3A32%3A%2290SCgzeKmqasLS45aaEKgQmykuGhA40Z%22%3B%7D',\n    'PATH' => '/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin',\n    'SERVER_SIGNATURE' => '<address>Apache/2.4.41 (Ubuntu) Server at fdgncpj-m1.wsr.ru Port 80</address>\n',\n    'SERVER_SOFTWARE' => 'Apache/2.4.41 (Ubuntu)',\n    'SERVER_NAME' => 'fdgncpj-m1.wsr.ru',\n    'SERVER_ADDR' => '192.168.14.26',\n    'SERVER_PORT' => '80',\n    'REMOTE_ADDR' => '192.168.13.234',\n    'DOCUMENT_ROOT' => '/srv/users/zxrysneh/fdgncpj-m1',\n    'REQUEST_SCHEME' => 'http',\n    'CONTEXT_PREFIX' => '',\n    'CONTEXT_DOCUMENT_ROOT' => '/srv/users/zxrysneh/fdgncpj-m1',\n    'SERVER_ADMIN' => '[no address given]',\n    'SCRIPT_FILENAME' => '/srv/users/zxrysneh/fdgncpj-m1/web/index.php',\n    'REMOTE_PORT' => '51554',\n    'GATEWAY_INTERFACE' => 'CGI/1.1',\n    'SERVER_PROTOCOL' => 'HTTP/1.1',\n    'REQUEST_METHOD' => 'GET',\n    'QUERY_STRING' => 'r=site%2Fabout',\n    'REQUEST_URI' => '/web/index.php?r=site%2Fabout',\n    'SCRIPT_NAME' => '/web/index.php',\n    'PHP_SELF' => '/web/index.php',\n    'REQUEST_TIME_FLOAT' => 1741842248.299916,\n    'REQUEST_TIME' => 1741842248,\n], referer: http://fdgncpj-m1.wsr.ru/
[Wed Mar 12 22:06:33.334900 2025] [mpm_itk:warn] [pid 3116247] (13)Permission denied: [client 192.168.13.234:51560] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/index.php?r=site%2Fabout
[Wed Mar 12 22:06:33.360058 2025] [mpm_itk:warn] [pid 3116251] (13)Permission denied: [client 192.168.13.234:51563] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/index.php?r=site%2Fabout
[Wed Mar 12 22:06:33.361050 2025] [mpm_itk:warn] [pid 3116250] (13)Permission denied: [client 192.168.13.234:51561] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/index.php?r=site%2Fabout
[Wed Mar 12 22:06:33.361741 2025] [mpm_itk:warn] [pid 3116249] (13)Permission denied: [client 192.168.13.234:51562] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/index.php?r=site%2Fabout
